property_name,longitude,latitude,UTM_Easting,UTM_Northing
Herz Playground,-122.41659553,37.71350451,551420.2063853785,4174188.6684462773
City Hall,-122.41926539,37.77914173,551139.7008819667,4181469.57207425
Merced Branch Library,-122.47449444,37.72661671,546308.9001705787,4175613.231007385
Presidio Library Mini Park,-122.4448619,37.78892984,548879.1977741004,4182541.867894385
Eureka Valley Branch Library,-122.43197454,37.76401373,550030.7116920442,4179784.259951675
Joost & Baden Mini Park,-122.4408549,37.73273784,549269.2702503488,4176309.5299338894
Fulton Playground,-122.48694726,37.77338725,545183.0702292252,4180796.2654264956
Randolph & Bright Mini Park,-122.463681,37.7145015,547269.5133359691,4174274.4753877833
Seward Mini Park,-122.44006548,37.7576254,549322.3115567013,4179071.1857336755
Dogpatch - Miller Memorial Garden,-122.40717609,37.74504697,552228.2677365015,4177693.46921905
Cow Hollow Playground,-122.44486464,37.79734341,548873.4137969654,4183475.34766715
Peixotto Playground,-122.43792203,37.76580342,549505.6696714811,4179979.660295743
Precita Park,-122.41205957,37.74706609,551796.618074557,4177914.7741607777
Clipper Terr Comm. Garden,-122.4431957,37.74784807,549053.0358391094,4177984.7579534906
Crags Court Garden,-122.44067677,37.74142764,549279.2058113542,4177273.7435383247
Lincoln Park,-122.49832821,37.78424485,544174.3145713247,4181995.468251623
Hyde & Vallejo Mini Park,-122.41909195,37.79764436,551142.2203973734,4183522.524743718
Kite Hill,-122.44167469,37.75824558,549180.151196358,4179139.1469372855
McKinley Square,-122.40469672,37.75916375,552436.7406323561,4179261.0970197637
Maritime Plaza,-122.39925209,37.79561019,552890.3562375918,4183307.8733220007
Broadway Tunnel W. Mini Park,-122.41743636,37.7964406,551288.8094437392,4183389.8749753465
Lower Great Highway,-122.50862838,37.75103138,543286.6914304309,4178305.6606053454
Ogden Terrace Community Garden,-122.41204731,37.73580862,551805.5436551787,4176665.779594083
Park Street Garden,-122.42578986,37.736475690000006,550594.1990829329,4176732.2737690355
O'Shaughnessy Hollow,-122.44389046,37.73918097,548997.5420979543,4177022.791806627
Lakeview & Ashton Mini Park,-122.46258591,37.71809649,547363.7432168579,4174673.8854455603
Cayuga & Lamartine Mini Park,-122.4329585,37.73034855,549966.6756180298,4176048.627042124
War Memorial & Opera House,-122.42088424,37.77911127,550997.164064164,4181465.3085707035
San Francisco Main Library,-122.41620254,37.77928802,551409.3175946954,4181487.482102769
Bernal Heights Park,-122.41426524,37.74313673,551605.028654832,4177477.598231861
Hooker Alley Community Garden,-122.41018584,37.79043858,551931.3507852403,4182727.955539609
Wolfe Lane Community Garden,-122.4066169,37.74528906,552277.3629864579,4177720.6410001544
India Basin - Shoreline Park,-122.37378414,37.73366807,555178.6003516162,4176450.152194871
Grand View Open Space,-122.47234138,37.755044780000006,546480.8549072819,4178768.3461638754
Howard & Langton Mini Park,-122.40983188,37.77726009,551971.7439278032,4181266.005641704
Western Addition Branch Library,-122.43757876,37.78422288,549523.615162553,4182023.4658856425
San Francisco Zoo,-122.50382176,37.73159432,543721.5578713306,4176151.3871117523
Rowing Club - Dolphin Club,-122.42127697,37.8079655,550942.7631816939,4184666.4597613793
