resource_type,latitude,longitude,UTM_Easting,UTM_Northing
restroom,37.7552601,-122.4051895,552396.0873940829,4178827.714890656
restroom,37.810759,-122.410441,551894.6651715905,4184982.360088414
restroom,37.810489,-122.410821,551861.4050469385,4184952.192654428
drinking_water,37.767503,-122.386062,554072.1067584641,4180196.937348951
drinking_water,37.74198175,-122.41632773,551424.1144473291,4177348.319584473
drinking_water,37.7433639,-122.48072331,545749.6858548925,4177468.239638987
restroom,37.76671178060086,-122.45600547939162,547912.3505466154,4180071.0263309213
drinking_water,37.76941332,-122.43349091,549893.5234412656,4180382.5294317408
restroom,37.78702293940326,-122.47178156987889,546510.1332121615,4182316.5673077307
drinking_water,37.77990307,-122.4173059,551311.7294832761,4181555.1155558345
restroom,37.75808872207264,-122.41344367216318,551667.0142767214,4179136.9576489246
restroom,37.76275999979258,-122.45197359512166,548270.0300947558,4179634.6531872344
drinking_water,37.75712697,-122.48691579,545195.7359750891,4178992.2226338843
drinking_water,37.79523887500005,-122.41008249499998,551937.089590629,4183260.6039588028
drinking_water,37.76262003,-122.45170249,548294.0001618465,4179619.2636054335
drinking_water,37.775397,-122.388882,553818.0129796171,4181071.145235325
restroom,37.7855716,-122.4180901,551238.7591162497,4182183.605658786
drinking_water,37.73083879,-122.38377726,554300.1205994425,4176130.4043907067
drinking_water,37.72220338,-122.41308385,551723.6737725894,4175155.7263903627
drinking_water,37.78641132,-122.43227245,549989.3883178475,4182269.0954522565
drinking_water,37.77736955,-122.40646207,552268.4237820345,4181280.0280923606
drinking_water,37.70863367,-122.45545232,547998.5543673297,4173627.636818591
restroom,37.77135493025545,-122.39873334886664,552953.3302157066,4180617.057376695
drinking_water,37.75959507,-122.42274035,550847.0750710826,4179298.992443471
drinking_water,37.751672340000006,-122.45583377,547937.1784489694,4178402.506515546
restroom,37.739129517709415,-122.44952483192756,548501.1401298363,4177014.148930262
drinking_water,37.783704740000005,-122.4350831,549743.7178602433,4181967.303220836
drinking_water,37.72209608,-122.42064775,551057.1511762015,4175139.670598447
drinking_water,37.752094240000005,-122.46505759,547124.3518414272,4178444.630813514
drinking_water,37.78069459,-122.42684636,550471.056370004,4181637.7424602853
restroom,37.76745061878301,-122.45405121776848,548083.9951744603,4180154.002353775
drinking_water,37.78087938,-122.42537903,550600.1423809258,4181659.0377053516
restroom,37.72640027156061,-122.44323590203872,549063.6470254409,4175605.1371247293
drinking_water,37.71511356,-122.45624227,547924.7509260243,4174346.162553581
drinking_water,37.76480722,-122.40910427,552044.5476178846,4179884.7737577567
drinking_water,37.7958357,-122.41043562,551905.5821510674,4183326.625388602
