"Cluster","longitude","latitude","Name"
"Cluster_3",-122.463681,37.7145015,"Randolph & Bright Mini Park"
"Noise",-122.50862838,37.75103138,"Lower Great Highway"
"Cluster_3",-122.46258591,37.71809649,"Lakeview & Ashton Mini Park"
"Cluster_11",-122.37378414,37.73366807,"India Basin - Shoreline Park"
"Cluster_6",-122.50382176,37.73159432,"San Francisco Zoo"
"Cluster_8",-122.39251458,37.71518495,"Bay View Park"
"Cluster_3",-122.46423249,37.71263119,"Head & Brotherood Mini Park"
"Cluster_11",-122.3897433,37.73473606,"Joseph Lee Rec Center"
"Cluster_11",-122.40039427,37.73887303,"Selby & Palou Mini Park"
"Noise",-122.39823747,37.70999032,"Little Hollywood Park"
"Cluster_11",-122.38350986,37.73391458,"Ridgetop Plaza"
"Cluster_11",-122.38386381,37.73101787,"Adam Rodgers Park"
"Cluster_11",-122.38350381,37.73293151,"Hilltop Park"
"Cluster_11",-122.39474893,37.73552432,"Palou & Phelps Park"
"Cluster_8",-122.38806931,37.71722092,"Gilman Playground"
"Cluster_3",-122.46679189,37.71728548,"Brooks Park"
"Cluster_12",-122.45035425,37.71389148,"Cayuga Playground"
"Cluster_11",-122.38106567,37.73186263,"Shoreview Park"
"Cluster_11",-122.375717,37.73986494,"Heron's Head Park"
"Cluster_1",-119.85077279,37.88160756,"Camp Mather"
"Noise",-122.49239057,37.7218412,"Lake Merced Park"
"Noise",-122.45533612,37.70862322999999,"Lessing & Sears Mini Park"
"Noise",-122.48190638,37.62439947,"Sharp Park"
"Cluster_9",-122.44119806,37.80796275,"Yacht Harbor and Marina Green"
"Cluster_7",-122.49809427,37.74902491,"West Sunset Playground"
"Cluster_10",-122.48685659,37.75659386,"Sunset Rec Center"
"Cluster_11",-122.4031744,37.73287274,"Silver Terrace Playground"
"Cluster_11",-122.38450283,37.73877408,"Youngblood-Coleman Playground"
"Cluster_8",-122.3958265,37.71768972,"Ralph D. House Community Park"
"Cluster_11",-122.37539185,37.73273891,"900 Innes"
"Cluster_12",-122.44665863,37.70982341,"Alice Chalmers Playground"
"Cluster_0",-122.39329981,37.72594209,"Bayview K.C. Jones Playground"
"Cluster_3",-122.47029461,37.71752783,"Merced Heights Playground"
"Cluster_3",-122.45758848,37.71576894,"Minnie and Lovie Ward Rec Center"
"Cluster_9",-122.44850174,37.80300818,"Palace of Fine Arts"
"Cluster_10",-122.48691579,37.75712697,"drinking_water"
"Cluster_11",-122.38377726,37.73083879,"drinking_water"
"Noise",-122.45545232,37.70863367,"drinking_water"
"Cluster_2",-122.45583377,37.751672340000006,"drinking_water"
"Cluster_3",-122.45624227,37.71511356,"drinking_water"
"Cluster_7",-122.49752443,37.74789871,"drinking_water"
"Cluster_2",-122.45588190223847,37.75167265818647,"restroom"
"Cluster_3",-122.45732734,37.71604522,"drinking_water"
"Cluster_3",-122.47038418,37.7174815,"drinking_water"
"Cluster_1",-119.85584307,37.8829335,"drinking_water"
"Cluster_6",-122.49952830769824,37.72560824692619,"restroom"
"Noise",-122.48940363,37.71242807,"drinking_water"
"Cluster_10",-122.486904,37.75684016,"drinking_water"
"Cluster_1",-119.85141529,37.88092731,"drinking_water"
"Cluster_11",-122.37597,37.740119,"restroom"
"Cluster_11",-122.3841349638076,37.73797742460086,"restroom"
"Cluster_9",-122.44255445,37.806654380000005,"restroom"
"Cluster_1",-119.85691668,37.88344952,"drinking_water"
"Cluster_11",-122.38366,37.73328,"drinking_water"
"Cluster_11",-122.385795,37.739575,"drinking_water"
"Cluster_1",-119.85689759,37.88353679,"drinking_water"
"Cluster_5",-122.5096440635718,37.76005676966667,"drinking_water"
"Cluster_7",-122.49832207,37.75081965,"drinking_water"
"Cluster_9",-122.44791246,37.80168741,"drinking_water"
"Cluster_11",-122.3908134,37.7340389,"restroom"
"Cluster_3",-122.465970826,37.71413776700007,"drinking_water"
"Cluster_11",-122.38409678,37.7381107,"drinking_water"
"Cluster_12",-122.44678565,37.70975597,"drinking_water"
"Cluster_9",-122.448793308729,37.80215891886645,"restroom"
"Cluster_1",-119.85138187,37.88092335,"drinking_water"
"Cluster_3",-122.47036815,37.71770235,"drinking_water"
"Cluster_3",-122.45890729,37.71509082,"drinking_water"
"Cluster_8",-122.38835499090985,37.7168010634532,"restroom"
"Cluster_11",-122.37539271248392,37.73973959372992,"restroom"
"Cluster_9",-122.44826248305824,37.80567366353541,"restroom"
"Cluster_11",-122.37603821479244,37.73247219967324,"restroom"
"Cluster_12",-122.44983895970807,37.71434069987213,"restroom"
"Cluster_6",-122.49985018,37.72594393,"drinking_water"
"Cluster_0",-122.39337823570943,37.72539339194417,"restroom"
"Cluster_11",-122.376172,37.735292,"drinking_water"
"Cluster_11",-122.3856264,37.73918604,"drinking_water"
"Cluster_11",-122.382577828637,37.73307159776936,"restroom"
"Cluster_3",-122.4574613171202,37.71630766055233,"restroom"
"Cluster_11",-122.387319,37.7428,"restroom"
"Cluster_11",-122.37577103552854,37.73226037152034,"restroom"
"Cluster_12",-122.44705578,37.70959881,"drinking_water"
"Cluster_11",-122.38948264733972,37.734686763218136,"restroom"
"Cluster_11",-122.3837328418327,37.73088520798447,"restroom"
"Cluster_11",-122.40239900743153,37.732517086819065,"restroom"
"Cluster_9",-122.44262145562116,37.80663633684421,"restroom"
"Cluster_11",-122.37597,37.740119,"drinking_water"
"Noise",-122.49365476427316,37.72466408783124,"restroom"
"Cluster_11",-122.390524,37.734648,"drinking_water"
"Cluster_0",-122.39330733,37.72579634,"drinking_water"
"Cluster_11",-122.387441,37.742691,"drinking_water"
"Cluster_8",-122.38717889,37.71732528,"drinking_water"
"Cluster_3",-122.4701035,37.71767026,"drinking_water"
"Cluster_11",-122.38573118327052,37.73921045423949,"restroom"
"Cluster_5",-122.50956649424046,37.760245264681615,"restroom"
"Cluster_3",-122.45820801,37.71638274,"drinking_water"
"Cluster_3",-122.45754732,37.71503456000001,"drinking_water"
"Cluster_0",-122.39303328506476,37.72556145806361,"restroom"
"Cluster_7",-122.49810319699998,37.75122405800005,"drinking_water"
"Cluster_12",-122.44986995,37.714327090000005,"drinking_water"
"Cluster_12",-122.44706570405378,37.70950402468936,"restroom"
"Cluster_8",-122.38878587677976,37.71718343500864,"restroom"
"Cluster_11",-122.39108620099996,37.73248467100007,"drinking_water"
"Noise",-122.398524,37.744233,"drinking_water"
"Cluster_5",-122.5091618,37.7603081,"restroom"
"Cluster_10",-122.4869080712594,37.75706028122408,"restroom"
"Cluster_8",-122.393147,37.719071,"drinking_water"
"Cluster_11",-122.38634,37.74671,"drinking_water"
"Cluster_3",-122.4701559768888,37.71773927453103,"restroom"
"Cluster_1",-119.8540079,37.87944138,"drinking_water"
"Cluster_11",-122.3812578,37.73177922000001,"drinking_water"
"Cluster_5",-122.503654,37.753834,"Noriega Early Education School"
"Cluster_11",-122.401649,37.736309,"Marshall, Thurgood Marshall High School"
"Cluster_9",-122.4505,37.799175,"Bright Horizons - Letterman Digital Arts Child Care Center"
"Cluster_7",-122.495819,37.748863,"Saint Ignatius College Preparatory"
"Cluster_7",-122.496666,37.750301,"Giannini, A.P. Giannini Middle School"
"Cluster_11",-122.386047,37.737042,"Economic Opportunity Council Sf - Martin Luther King Childcare"
"Cluster_11",-122.380966,37.734238,"Malcolm X Elementary School"
"Cluster_3",-122.459633,37.714478,"Sheridan Elementary School / Preschool"
"Cluster_8",-122.396561,37.719532,"Kipp Bayview Academy"
"Cluster_10",-122.489098,37.758049,"Lawton Alternative School"
"Cluster_11",-122.384216,37.734039,"Faces Sf Child Development Program - Bayview-Hunters Point"
"Cluster_9",-122.445717,37.803875,"Amici World School"
"Cluster_11",-122.405312,37.738655,"Big City Montessori School"
"Cluster_11",-122.381874,37.735832,"Economic Opportunity Council Sf - Sojourner Truth Childcare"
"Cluster_7",-122.49276,37.748844,"Stevenson, Robert Louis Stevenson Elementary School"
"Cluster_2",-122.456131,37.753712,"Second Community Child Care Center"
"Cluster_3",-122.466675,37.716782,"Ortega, Jose Ortega Elementary School"
"Noise",-122.480911,37.718266,"Montessori Childrens Center"
"Cluster_11",-122.388588,37.734085,"Havard, Leola M. Havard Early Education School"
"Cluster_12",-122.447754,37.710037,"San Francisco Christian School"
"Noise",-122.372505,37.825985,"Treasure Island Child Development Center"
"Cluster_5",-122.508499,37.756386,"Sunset Cooperative Nursery School"
"Noise",-122.367996,37.825512,"Life Learning Academy Charter School"
"Cluster_9",-122.455566,37.800007,"German International School Of Silicon Valley - San Francisco Campus"
"Cluster_11",-122.394096,37.737148,"City College of San Francisco Southeast Center"
"Cluster_2",-122.456268,37.753754,"Clarendon Elementary School"
"Noise",-122.483162,37.76236,"Jefferson Early Education School"
"Cluster_11",-122.402496,37.732529,"Kinderhaus - German International Preschool"
"Cluster_4",-122.475639,37.713421,"Brandeis Hillel School Of San Francisco"
"Cluster_9",-122.442665,37.803036,"Claire Lilienthal Alternative School - Scott Campus"
"Cluster_9",-122.456116,37.799297,"Serra Preschool"
"Cluster_5",-122.501999,37.758099,"Key, Francis Scott Key Elementary/Early Education"
"Cluster_10",-122.490379,37.757992,"San Francisco Montessori Academy"
"Cluster_11",-122.385338,37.731667,"Carver, Dr. George Washington Carver Elementary School"
"Cluster_11",-122.384682,37.741859,"City College of San Francisco Evans Center"
"Cluster_9",-122.461105,37.79752,"Presidio Early Education School"
"Cluster_3",-122.465576,37.714497,"Economic Opportunity Council Sf - Omi Childcare"
"Cluster_4",-122.473389,37.712299,"Saint Thomas More"
"Cluster_4",-122.478317,37.713841,"Kzv Armenian School - Krouzian Zekarian Armenian School"
"Cluster_10",-122.483665,37.75742,"Cornerstone Academy"
"Cluster_3",-122.47197,37.717464,"Wu Yee Child Development Center - Omi (Ocean View,Merced Heights,Ingleside)"
"Cluster_9",-122.455528,37.799049,"Cow Hollow Kindergarten"
"Cluster_11",-122.39389,37.731796,"Drew, Dr. Charles R. Drew Elementary / Early Education"
"Cluster_4",-122.475296,37.713123,"Jewish Community Center San Francisco - Brotherhood Way Preschool"
"Cluster_5",-122.505241,37.756462,"Kids Kollege Preschool"
"Cluster_6",-122.501846,37.729641,"Pomeroy Recreation And Rehabilitation Center"
"Cluster_5",-122.498878,37.75761,"Holy Name Elementary School"
"Cluster_11",-122.38958,37.731804,"Wu Yee Child Development Center - Bayview"
"Cluster_11",-122.393837,37.737419,"Wu Yee Child Development Center - South East"
"Cluster_8",-122.394241,37.719162,"Martha Hills Learning Center"
"Cluster_7",-122.499153,37.750523,"Sunset Elementary School"
"Cluster_11",-122.383591,37.739754,"Mission Neighborhood Centers - Southeast Families United Childcare"
"Cluster_11",-122.374405,37.72887,"Wu Yee Child Development Center - Hunters Point/Kirkwood"
"Cluster_9",-122.455818,37.800579,"Bay School Of San Francisco"
"Cluster_8",-122.389221,37.717899,"Harte, Bret Harte Elementary / Early Education"
"Noise",-122.394058,37.750324,"Rise Institute"
"Cluster_9",-122.443237,37.80336,"Lilienthal, Claire Lilienthal (3-8 Winfield Scott Campus)"
"Cluster_10",-122.483765,37.753666,"Angelinas Preschool"
"Cluster_11",-122.399574,37.736477,"Brown, Willie Brown Jr Middle School"
"Cluster_12",-122.446739,37.710423,"Longfellow Elementary School"
