"property_name","longitude","latitude"
"Herz Playground",-122.41659553,37.71350451
"City Hall",-122.41926539,37.77914173
"Merced Branch Library",-122.47449444,37.726616709999995
"Presidio Library Mini Park",-122.4448619,37.78892984
"Eureka Valley Branch Library",-122.43197454,37.76401373
"Joost & Baden Mini Park",-122.44085489999999,37.73273784
"Fulton Playground",-122.48694726000001,37.77338725
"Randolph & Bright Mini Park",-122.463681,37.714501500000004
"Seward Mini Park",-122.44006548,37.757625399999995
"Dogpatch - Miller Memorial Garden",-122.40717609,37.74504697
"Cow Hollow Playground",-122.44486464,37.79734341
"Peixotto Playground",-122.43792203,37.76580342
"Precita Park",-122.41205957000001,37.74706609
"Clipper Terr Comm. Garden",-122.4431957,37.747848069999996
"Crags Court Garden",-122.44067677000001,37.74142764
"Lincoln Park",-122.49832821,37.78424485
"Hyde & Vallejo Mini Park",-122.41909195,37.79764436
"Kite Hill",-122.44167469,37.75824558
"McKinley Square",-122.40469672,37.75916375
"Maritime Plaza",-122.39925208999999,37.79561019
"Broadway Tunnel W. Mini Park",-122.41743636,37.7964406
"Lower Great Highway",-122.50862838,37.75103138
"Ogden Terrace Community Garden",-122.41204731,37.73580862
"Park Street Garden",-122.42578986000001,37.736475690000006
"O'Shaughnessy Hollow",-122.44389045999999,37.73918097
"Lakeview & Ashton Mini Park",-122.46258591,37.71809649
"Cayuga & Lamartine Mini Park",-122.4329585,37.73034855
"War Memorial & Opera House",-122.42088424,37.77911127
"San Francisco Main Library",-122.41620254,37.77928802
"Bernal Heights Park",-122.41426523999999,37.743136729999996
"Hooker Alley Community Garden",-122.41018584,37.79043858
"Wolfe Lane Community Garden",-122.4066169,37.74528906
"India Basin - Shoreline Park",-122.37378414,37.73366807
"Grand View Open Space",-122.47234138,37.755044780000006
"Howard & Langton Mini Park",-122.40983188,37.77726009
"Western Addition Branch Library",-122.43757876,37.78422288
"San Francisco Zoo",-122.50382176,37.73159432
"Rowing Club - Dolphin Club",-122.42127697,37.8079655
"Holly Park",-122.41995329,37.73721401
"Golden Gate Heights Park",-122.46941641,37.749990999999994
"Billy Goat Hill",-122.43321192,37.741412929999996
"Bay View Park",-122.39251458,37.71518495
"Hawk Hill",-122.46874625,37.74659138
"Joseph L. Alioto Performing Arts Piazza",-122.41761127,37.77948576
"Wash. & Hyde MP",-122.41741052,37.79400105
"Geneva Carbarn",-122.44674949,37.72021667
"Buchanan St Mall",-122.42858096,37.77951424
"John McLaren Park",-122.41908038,37.718096980000006
