"﻿Campus Name","latitude","longitude"
"Milk, Harvey Milk Childrens Center","37.783802","-122.420105"
"Mckinley Elementary School","37.766884","-122.436279"
"Jewish Community Center San Francisco - Rosenberg Early Childhood Center","37.784588","-122.459488"
"Eureka Learning Center","37.754967","-122.437004"
"Noriega Early Education School","37.753834","-122.503654"
"Marin Preparatory School","37.760124","-122.436798"
"Montessori House Of Children","37.785046","-122.423416"
"West Portal Lutheran School","37.735092","-122.473999"
"Economic Opportunity Council Sf - Delta Preschool","37.713379","-122.409553"
"Teaching Tots Preschool","37.797092","-122.407471"
"Sutro Elementary / Early Education","37.783604","-122.471451"
"Marshall, Thurgood Marshall High School","37.736309","-122.401649"
"Francisco Middle School","37.804569","-122.410965"
"Star Of The Sea School","37.781563","-122.467285"
"San Francisco University High School","37.790657","-122.445351"
"Argonne Early Education School","37.773968","-122.47406"
"Flynn, Leonard Flynn Elementary / Early Education","37.747746","-122.411964"
"Hamlin School","37.7948","-122.432495"
"Little Star Preschool Too","37.748341","-122.47757"
"Sweet Peas Preschool - West","37.733597","-122.444008"
"Cross Cultural Family Center - Marcus Garvey Center","37.781597","-122.43486"
"Saint Peters School","37.751701","-122.410362"
"Saint Monica School","37.780613","-122.483337"
"City College of San Francisco John Adams Center","37.774086","-122.447189"
"Bright Horizons - Letterman Digital Arts Child Care Center","37.799175","-122.4505"
"West Portal Elementary School","37.742874","-122.464348"
"Lau, Gordon J. Lau Elementary / Preschool","37.794399","-122.408806"
"Saint Ignatius College Preparatory","37.748863","-122.495819"
"Economic Opportunity Council Sf - Western Addition Childcare","37.778938","-122.434433"
"Haight Ashbury Community Nursery School","37.762451","-122.451889"
"Convent Of The Sacred Heart Elementary School","37.794689","-122.433876"
"Hilltop Child Development Center","37.750465","-122.409149"
"Visitacion Valley Middle School","37.715744","-122.412079"
"Bryant Early Education / Bryant Elementary","37.751453","-122.404694"
"Giannini, A.P. Giannini Middle School","37.750301","-122.496666"
"Economic Opportunity Council Sf - Martin Luther King Childcare","37.737042","-122.386047"
"Malcolm X Elementary School","37.734238","-122.380966"
"Sheridan Elementary School / Preschool","37.714478","-122.459633"
"Hearst, Phoebe Apperson Hearst Home","37.74363","-122.500053"
"Wu Yee Child Development Center - Potrero Hill","37.758236","-122.400314"
"Hilltop High Special Services Center","37.750454","-122.40963"
"Kai Ming Head Start - North Beach Center","37.804852","-122.41642"
"Marin Day School - Congregation Sherith Israel","37.788647","-122.438248"
"Carmichael, Bessie Carmichael (6-8 Campus)","37.78056","-122.40049"
"Marin Day School - Spear St","37.790878","-122.392525"
"Mission Neighborhood Centers - Alemany Head Start","37.733013","-122.417885"
"Jefferson Elementary School","37.763065","-122.47673"
"Fusion Academy San Francisco","37.797028","-122.404182"
"Argonne Elementary School","37.775307","-122.476311"
"Little Angels Japanese Preschool","37.761131","-122.466431"
"Bright Horizons - Pacific Gas And Electric","37.791763","-122.395592"
"Moscone, George Moscone Elementary / Las Americas Early Education","37.756741","-122.41262"
"Sherman Elementary School","37.797802","-122.426117"
"Kipp Bayview Academy","37.719532","-122.396561"
"Sweet Peas Preschool - East","37.764515","-122.411102"
"Edgewood Center For Children And Families","37.737984","-122.486259"
"Wen Jian Ying","37.72802","-122.447571"
"Lawton Alternative School","37.758049","-122.489098"
"Chinese American International School","37.772228","-122.424232"
"Faces Sf Child Development Program - Bayview-Hunters Point","37.734039","-122.384216"
"Visitacion Valley Elementary School","37.712524","-122.409897"
"Little Star Preschool","37.742508","-122.493668"
"New Traditions Elementary School","37.773884","-122.450264"
"San Francisco County Civic Center Secondary School","37.780296","-122.422943"
"Saint Pauls School","37.743923","-122.426926"
"Rooftop (K-4 Burnett Campus)","37.75481","-122.443222"
"Saints Peter And Paul Elementary School","37.801598","-122.410217"
"Centro Las Olas - Centro De Desarrollo Infantil","37.748364","-122.424049"
"Cornerstone Academy","37.729584","-122.418327"
"Claire Lilienthal Alternative School - Madison Campus","37.78722","-122.458076"
"Childrens After School Arts","37.75959","-122.435242"
"Congregation Beth Sholom Family Preschool","37.782387","-122.473381"
"Parker, Jean Parker Out-Of-School (OST) / Early Education","37.797619","-122.411041"
"Happy Day Preschool","37.742836","-122.474892"
"Spring Valley Elementary / Early Education","37.794006","-122.418816"
"Mission Neighborhood Centers - 24Th St Head Start","37.752457","-122.412224"
"Yick Wo Elementary School","37.80196","-122.416611"
"Russian Hill School","37.788521","-122.440193"
"San Francisco Public Montessori","37.792866","-122.433601"
"Hergl School","37.800377","-122.42572"
"Friends Of Saint Francis Child Care Center","37.768589","-122.430344"
"Chin, John Yehall Chin Elementary School","37.798611","-122.403221"
"Valdivia Family Day Care","37.752579","-122.406807"
"Cornerstone Academy","37.724953","-122.416847"
"Sanchez Elementary School  / Preschool","37.763454","-122.430359"
"Nihonmachi Little Friends - Sutter St","37.786717","-122.430557"
"Stuart Hall For Boys","37.794617","-122.434288"
"Bais Menachem Yeshiva Day School","37.773613","-122.487152"
"Little Angels Daycare","37.726673","-122.466423"
"Amici World School","37.803875","-122.445717"
"Burton, Phillip And Sala Burton High School","37.721546","-122.406555"
"City College of San Francisco Civic Center","37.779545","-122.414299"
"Washington, George Washington High School","37.777905","-122.491013"
"Big City Montessori School","37.738655","-122.405312"
"Buena Vista / Horace Mann","37.753033","-122.420181"
"Alta Plaza Preschool","37.790203","-122.437195"
"Glenridge Cooperative Nursery School","37.736191","-122.440033"
"Guadalupe Elementary School","37.710182","-122.434029"
"Telegraph Hill Neighborhood Center Child Development Preschool","37.803444","-122.412537"
"Cobb, Dr. William L. Cobb Elementary School / Preschool","37.787678","-122.439552"
"Alamo Elementary School","37.783005","-122.4823"
"Pacific Primary - Yellow Sun School","37.775658","-122.441734"
"Stockton, Commodore Stockton Early Education School","37.795082","-122.40908"
"Kai Ming Head Start - Sunset Center","37.742394","-122.496277"
"Kai Ming Head Start - Tkl Center (Dr T Kong Lee)","37.79372","-122.409294"
"Glen Park Elementary School","37.733131","-122.435623"
"Economic Opportunity Council Sf - Sojourner Truth Childcare","37.735832","-122.381874"
"Stevenson, Robert Louis Stevenson Elementary School","37.748844","-122.49276"
"Bright Horizons - Kansas St","37.766731","-122.404213"
"Taylor, E. R. Taylor Elementary School / Preschool","37.727329","-122.40731"
"Second Community Child Care Center","37.753712","-122.456131"
"Ortega, Jose Ortega Elementary School","37.716782","-122.466675"
"Redding Elementary / Early Education","37.78952","-122.41925"
"Scandanavian School","37.746582","-122.457878"
"Wind In The Willows Early Learning Center","37.731258","-122.451462"
"Telegraph Hill Parent Participation Nursery School","37.795681","-122.410377"
"Rocky Mountain Participation Nursery School","37.74184","-122.471603"
"Moldovan Academy","37.748898","-122.42968"
"Ucsf - Parnassus-Kirkham Child Development Center","37.761524","-122.461166"
"Saint Nicholas Day Care And Preschool","37.744923","-122.440422"
"International Studies Academy","37.761704","-122.400688"
"Everett Middle School","37.763577","-122.429367"
"My Little Learning Tree","37.782394","-122.482086"
"San Francisco Waldorf High School","37.736015","-122.471199"
"Family School","37.747994","-122.418137"
"Mission Neighborhood Centers - Edificio De Mujeres / Womens Building","37.761421","-122.422615"
"Adda Clevenger School","37.753738","-122.424461"
"Faces Sf Child Development Program - Hayes Valley","37.772907","-122.428032"
"Walden Academy","37.772942","-122.426147"
"San Francisco Expeditionary School","37.793186","-122.445892"
"Little Childrens Developmental Center","37.781956","-122.431045"
"Montessori Childrens Center","37.718266","-122.480911"
"Carmichael, Bessie Carmichael K-5 Campus / Early Education","37.776382","-122.406456"
"Holy Family Day Home","37.764992","-122.425796"
"Saint Gabriel Catholic School","37.739563","-122.498634"
"Lincoln, Abraham Lincoln High School","37.746594","-122.48024"
"Love And Learn Nursery School","37.77335","-122.414795"
"Havard, Leola M. Havard Early Education School","37.734085","-122.388588"
"City College of San Francisco Fort Mason Site","37.80677","-122.431824"
"Chinatown Community Childrens Center","37.79361","-122.409103"
"Balboa Preschool","37.776932","-122.464477"
"Marina Childrens Center","37.800774","-122.431488"
"Rodriguez, Zaida T. Rodriguez Early Education School","37.749821","-122.418556"
"Kai Ming Head Start - Geary Center","37.77972","-122.486191"
"King, Dr. Martin Luther King Jr. Middle School","37.727741","-122.405807"
"San Francisco Christian School","37.710037","-122.447754"
"Cross Cultural Family Center - Bertha E Flemming Center","37.782711","-122.436233"
"Little Bear School","37.723179","-122.438095"
"Everyday Magic Child Development Center","37.730572","-122.485817"
"Alta Vista School","37.726391","-122.407196"
"Golden Bridges School","37.755467","-122.42231"
"Creative Arts Charter School","37.779804","-122.436073"
"Laurel Hill Nursery School","37.783798","-122.452728"
"Phoebe A Hearst Learning Center","37.782681","-122.427948"
"Marin Day School - Market Street","37.777226","-122.417358"
"Treasure Island Child Development Center","37.825985","-122.372505"
"Saint Anthony - Immaculate Conception School","37.747536","-122.414223"
"Starlight Christian Preschool 2","37.738022","-122.500977"
"Webster, Daniel Webster Elementary School","37.762009","-122.400772"
"Oakes Childrens Center","37.74593","-122.412697"
"Sunset Cooperative Nursery School","37.756386","-122.508499"
"Laurel School","37.781941","-122.467331"
"Wu Yee Child Development Center - Westside","37.784466","-122.442268"
"De Marillac Academy","37.781658","-122.413345"
"San Francisco Waldorf School","37.790783","-122.44191"
"Ecole Notre Dame Des Victoires","37.791115","-122.406464"
"Grattan Elementary / Early Education","37.763493","-122.450424"
"Hoover, Herbert Hoover Middle School","37.745556","-122.468964"
"Chibi Chan Preschool","37.788784","-122.429291"
"Presidio Hill School","37.788582","-122.456062"
"Hearing & Speech Center Of Northern California","37.781174","-122.438728"
"Starlight Christian Preschool 1","37.775311","-122.484924"
"Mission Neighborhood Centers - Valencia Gardens","37.767098","-122.423202"
"Lakeshore Elementary School","37.730324","-122.48542"
"Life Learning Academy Charter School","37.825512","-122.367996"
"German International School Of Silicon Valley - San Francisco Campus","37.800007","-122.455566"
"Marina Middle School","37.801827","-122.435478"
"San Francisco Schoolhouse (Congregation Beth Shalom)","37.782391","-122.473167"
"San Francisco City Academy","37.783505","-122.412201"
"Saint Brendan School","37.742855","-122.455925"
"Saint Finn Barr Catholic School","37.730446","-122.447411"
"Wu Yee Child Development Center - Lok Yuen","37.794365","-122.407791"
"Kai Ming Head Start - Battery Center","37.798973","-122.400581"
"City College of San Francisco Southeast Center","37.737148","-122.394096"
"Saint Marys School","37.795944","-122.404907"
"Rainbow Montessori Of San Francisco","37.743538","-122.480759"
"Sand Paths Academy","37.753468","-122.416717"
"Synergy Elementary School","37.750885","-122.420326"
"Lycee Francais De San Francisco","37.767971","-122.446968"
"Clarendon Elementary School","37.753754","-122.456268"
"Lycee Francais De San Francisco","37.751988","-122.476829"
"Katherine Delmar Burke School","37.784283","-122.493324"
"Marin Day School - San Francisco City Hall","37.779324","-122.418816"
"Mccoppin, Frank Mccoppin Elementary / Early Education","37.77631","-122.464477"
"Gateway High School / Kipp Sf Bay Academy","37.783264","-122.436691"
"Galileo High School","37.803791","-122.424149"
"Kangaroos Preschool","37.731812","-122.441833"
"Glide Family Youth And Childcare Center","37.78529","-122.411697"
"Jefferson Early Education School","37.76236","-122.483162"
"Noe Valley Nursery School","37.743469","-122.440552"
"Ucsf - University Child Care Center - Laurel Heights","37.786099","-122.448387"
"Montessori Childrens House Of The West Coast","37.786671","-122.459686"
"Five Keys Charter","37.777107","-122.402229"
"Little Sunshine Childcare","37.7239","-122.46096"
"Saint Pauls Littlest Angel Preparatory","37.74419","-122.427742"
"City College of San Francisco Mission Center","37.754791","-122.420616"
"Economic Opportunity Council Sf - Oscaryne Williams Center Of Hope","37.755798","-122.394974"
"Alt School - Fort Mason","37.804562","-122.433907"
"Sloat, Commodore Sloat Elementary School","37.731258","-122.470482"
"Ark Christian Preschool","37.73803","-122.500786"
"Economic Opportunity Council Sf - Rainbow Preschool","37.796528","-122.407638"
"Laguna Golden Gate Child Care Center","37.780636","-122.42733"
"Playmates Cooperative Nursery School","37.743015","-122.500076"
"Miraloma Cooperative Nursery School","37.732193","-122.449142"
"Jewish Community Center San Francisco - Helen Diller Family Preschool","37.787365","-122.44722"
"Saint Stephen School","37.730911","-122.477684"
"Peters Place Nursery School","37.777092","-122.461357"
"Wu Yee Child Development Center - Chinatown Little Sprouts","37.797012","-122.410713"
"Milk, Harvey Milk Elementary School","37.758926","-122.436447"
"Balboa High School","37.721142","-122.441399"
"Urban School Of San Francisco","37.770832","-122.44635"
"Mission Neighborhood Centers - Stevenson","37.771469","-122.421883"
"Serra, Junipero Serra Elementary School","37.736912","-122.421486"
"Kids By The Bay Preschool","37.779549","-122.412102"
"Kinderhaus - German International Preschool","37.732529","-122.402496"
"Brandeis Hillel School Of San Francisco","37.713421","-122.475639"
"La Scuola International School","37.774921","-122.430046"
"Claire Lilienthal Alternative School - Scott Campus","37.803036","-122.442665"
"Kai Ming Head Start - Richmond Center","37.781128","-122.493202"
"Mission Education Center Elementary School","37.742203","-122.431435"
"Angelas Children Center","37.773998","-122.465179"
"Peabody, George Peabody Elementary School","37.783855","-122.465027"
"Hillcrest Elementary School","37.728413","-122.418686"
"La Piccola Scuola Italiana Preschool","37.760681","-122.389198"
"Parkside Preschool & Kindergarten","37.742615","-122.47625"
"Rooftop (5-8 Mayeda Campus)","37.757397","-122.444496"
"Alt School - Potrero Hill","37.765507","-122.396584"
"City College of San Francisco Ocean Campus","37.725716","-122.451134"
"Little School","37.785137","-122.444717"
"Katherine Michiels School","37.749817","-122.42231"
"Cross Cultural Family Center - Mary Lane Infant And Toddler Center","37.769699","-122.428474"
"Tule Elk Park Early Education School","37.799419","-122.434563"
"Kittredge School","37.785507","-122.484955"
