name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
"Mission Pit Stop - SFGH, near SE corner of Building 25",731874903109434684,restroom,0,0,0,0,37.7552601,-122.4051895,"SFGH, near SE corner of Building 25",San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4051895 37.7552601),10,Mission,2025/03/01 09:04:53 AM,2025/03/01 09:05:55 AM
Pier 42,5131556297665840105,restroom,0,0,0,0,37.810759,-122.410441,Fishermans's Wharf,San Francisco,CA,94133,,publicly_accessible,07:00:00,22:00:00,Daily,Level 2 by Amici's Pizza,port,POINT (-122.410441 37.810759),3,North Beach,2024/10/04 01:51:23 PM,2025/03/01 09:05:55 AM
Pier 41,5833182095630630815,restroom,0,0,0,0,37.810489,-122.410821,Fishermans's Wharf,San Francisco,CA,94133,,publicly_accessible,07:00:00,22:00:00,Daily,Level 2 behind Swiss Louis,port,POINT (-122.410821 37.810489),3,North Beach,2024/10/04 01:51:23 PM,2025/03/01 09:05:55 AM
Bayfront Park #1,2819301328891327176,drinking_water,1,1,1,1,37.767503,-122.386062,"Terry A Francois Blvd, Mission Bay",San Francisco,CA,94158,,,,,,,port,POINT (-122.386062 37.767503),6,Mission Bay,2024/10/04 01:51:23 PM,2025/03/01 09:05:55 AM
Bernal Heights Path Drinking Fountain,8198355778702993225,drinking_water,1,1,0,0,37.74198175,-122.41632773,,San Francisco,CA,,,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416327735 37.7419817),9,Bernal Heights,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
McCoppin Square - Drinking Fountain/Cooler,6559692620526371061,drinking_water,1,0,0,0,37.7433639,-122.48072331,2354 24th Ave,San Francisco,CA,94116,McCoppin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.480723318 37.74336385),4,Sunset/Parkside,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Kezar Stadium,3662962683842392263,restroom,0,0,0,0,37.76671178060086,-122.45600547939162,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.456005479 37.766711781),5,Golden Gate Park,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Duboce Park - Drinking Fountain/Cooler,8941845549837929355,drinking_water,1,1,0,0,37.76941332,-122.43349091,50 Scott St,San Francisco,CA,94117,Duboce Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.433490923 37.769413267),8,Haight Ashbury,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
Mountain Lake Restrooms,7662904050712720207,restroom,0,0,0,0,37.78702293940326,-122.47178156987887,1 11th Ave,San Francisco,CA,94118,Mountain Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.47178157 37.787022939),1,Inner Richmond,2024/08/21 02:15:01 PM,2025/03/01 09:05:55 AM
Joseph L. Alioto Performing Arts Piazza - Drinking Fountain/Cooler,6099826318662567743,drinking_water,1,0,0,0,37.779903069999996,-122.4173059,355 McAllister St,San Francisco,CA,94102,Joseph L. Alioto Performing Arts Piazza,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.417305906 37.779903017),5,Tenderloin,2024/12/05 09:47:24 PM,2025/03/01 09:05:55 AM
